tx.date	measurement.date	media.batch.date	source.plate	plate.name.in.source.fcs	glu	gal	xml.template.name	plate	mask.transformation	mask.scoring	keep.plate	special.analysis.required	biol.rep	comments
1706x1	170705	170704	Plate_001	Plate_001	1	0	170705-PlateSet_001.xml	170705-Plate_001	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_001	Plate_002	1	0	170705-PlateSet_001.xml	170705-Plate_002	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_005	Plate_003	1	0	170705-PlateSet_001.xml	170705-Plate_003	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_005	Plate_004	1	0	170705-PlateSet_001.xml	170705-Plate_004	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_006	Plate_005	1	0	170705-PlateSet_001.xml	170705-Plate_005	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_006	Plate_006	1	0	170705-PlateSet_001.xml	170705-Plate_006	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_007	Plate_007	1	0	170705-PlateSet_001.xml	170705-Plate_007	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_007	Plate_008	1	0	170705-PlateSet_001.xml	170705-Plate_008	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_008	Plate_009	1	0	170705-PlateSet_001.xml	170705-Plate_009	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_008	Plate_010	1	0	170705-PlateSet_001.xml	170705-Plate_010	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_009	Plate_011	1	0	170705-PlateSet_001.xml	170705-Plate_011	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_009	Plate_012	1	0	170705-PlateSet_001.xml	170705-Plate_012	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_010	Plate_013	1	0	170705-PlateSet_002.xml	170705-Plate_013	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_010	Plate_014	1	0	170705-PlateSet_002.xml	170705-Plate_014	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_011	Plate_015	1	0	170705-PlateSet_002.xml	170705-Plate_015	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_011	Plate_016	1	0	170705-PlateSet_002.xml	170705-Plate_016	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_012	Plate_017	1	0	170705-PlateSet_002.xml	170705-Plate_017	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_012	Plate_018	1	0	170705-PlateSet_002.xml	170705-Plate_018	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_013	Plate_019	1	0	170705-PlateSet_002.xml	170705-Plate_019	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_013	Plate_020	1	0	170705-PlateSet_002.xml	170705-Plate_020	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_014	Plate_021	1	0	170705-PlateSet_002.xml	170705-Plate_021	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_014	Plate_022	1	0	170705-PlateSet_002.xml	170705-Plate_022	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170705	170704	Plate_015	Plate_023	1	0	170705-PlateSet_002.xml	170705-Plate_023	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170705	170704	Plate_015	Plate_024	1	0	170705-PlateSet_002.xml	170705-Plate_024	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170706	170704	Plate_001	Plate_001	0	1	170706-PlateSet_001.xml	170706-Plate_001	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170706	170704	Plate_001	Plate_002	0	1	170706-PlateSet_001.xml	170706-Plate_002	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170706	170704	Plate_005	Plate_003	0	1	170706-PlateSet_001.xml	170706-Plate_003	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170706	170704	Plate_005	Plate_004	0	1	170706-PlateSet_001.xml	170706-Plate_004	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170706	170704	Plate_006	Plate_005	0	1	170706-PlateSet_001.xml	170706-Plate_005	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170706	170704	Plate_006	Plate_006	0	1	170706-PlateSet_001.xml	170706-Plate_006	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170706	170704	Plate_007	Plate_007	0	1	170706-PlateSet_001.xml	170706-Plate_007	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170706	170704	Plate_007	Plate_008	0	1	170706-PlateSet_001.xml	170706-Plate_008	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170706	170704	Plate_008	Plate_009	0	1	170706-PlateSet_001.xml	170706-Plate_009	NA	NA	TRUE	FALSE	1	'NA'
1706x1	170706	170704	Plate_008	Plate_010	0	1	170706-PlateSet_001.xml	170706-Plate_010	NA	NA	TRUE	FALSE	2	'NA'
1706x1	170706	170704	Plate_009	Plate_011	0	1	170706-PlateSet_001.xml	170706-Plate_011	NA	NA	TRUE	FALSE	1	'NA'
