clone.id	source.plate	source.plate.suffix	source.plate.1	r	c	rc	tx.plate.suffix	tx.plate	tx.rc	tx.r	tx.c	GAL4.allele	GAL80.allele	GAL3.allele	GALK.allele	tx.rep	GALK.clone.named	gene	parental.txant	GAL3.clone.named	GAL80.clone.named	GAL4.clone.named
180324-Plate_001.B12	180324-Plate_001	1	Plate_001	B	12	B12	1	Plate_001	B12	B	12	GAL4.delta	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4.delta
180324-Plate_001.C1	180324-Plate_001	1	Plate_001	C	1	C1	1	Plate_001	C1	C	1	GAL4.35	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4-L868P
180324-Plate_001.C2	180324-Plate_001	1	Plate_001	C	2	C2	1	Plate_001	C2	C	2	GAL4.35	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4-L868P
180324-Plate_001.C3	180324-Plate_001	1	Plate_001	C	3	C3	1	Plate_001	C3	C	3	GAL4.35	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4-L868P
180324-Plate_001.C4	180324-Plate_001	1	Plate_001	C	4	C4	1	Plate_001	C4	C	4	GAL4.35	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4-L868P
180324-Plate_001.C5	180324-Plate_001	1	Plate_001	C	5	C5	1	Plate_001	C5	C	5	GAL4.35	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4-L868P
180324-Plate_001.C6	180324-Plate_001	1	Plate_001	C	6	C6	1	Plate_001	C6	C	6	GAL4.35	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4-L868P
180324-Plate_001.C7	180324-Plate_001	1	Plate_001	C	7	C7	1	Plate_001	C7	C	7	GAL4.35	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4-L868P
180324-Plate_001.C8	180324-Plate_001	1	Plate_001	C	8	C8	1	Plate_001	C8	C	8	GAL4.35	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4-L868P
180324-Plate_001.C9	180324-Plate_001	1	Plate_001	C	9	C9	1	Plate_001	C9	C	9	GAL4.35	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4-L868P
180324-Plate_001.C10	180324-Plate_001	1	Plate_001	C	10	C10	1	Plate_001	C10	C	10	GAL4.35	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4-L868P
180324-Plate_001.C11	180324-Plate_001	1	Plate_001	C	11	C11	1	Plate_001	C11	C	11	GAL4.35	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4-L868P
180324-Plate_001.C12	180324-Plate_001	1	Plate_001	C	12	C12	1	Plate_001	C12	C	12	GAL4.35	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4-L868P
180324-Plate_001.D1	180324-Plate_001	1	Plate_001	D	1	D1	1	Plate_001	D1	D	1	GAL4.36	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4-L868C
180324-Plate_001.D2	180324-Plate_001	1	Plate_001	D	2	D2	1	Plate_001	D2	D	2	GAL4.36	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4-L868C
180324-Plate_001.D3	180324-Plate_001	1	Plate_001	D	3	D3	1	Plate_001	D3	D	3	GAL4.36	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4-L868C
180324-Plate_001.D4	180324-Plate_001	1	Plate_001	D	4	D4	1	Plate_001	D4	D	4	GAL4.36	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4-L868C
180324-Plate_001.D5	180324-Plate_001	1	Plate_001	D	5	D5	1	Plate_001	D5	D	5	GAL4.36	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4-L868C
180324-Plate_001.D6	180324-Plate_001	1	Plate_001	D	6	D6	1	Plate_001	D6	D	6	GAL4.36	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4-L868C
180324-Plate_001.D7	180324-Plate_001	1	Plate_001	D	7	D7	1	Plate_001	D7	D	7	GAL4.36	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4-L868C
180324-Plate_001.D8	180324-Plate_001	1	Plate_001	D	8	D8	1	Plate_001	D8	D	8	GAL4.36	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4-L868C
180324-Plate_001.D9	180324-Plate_001	1	Plate_001	D	9	D9	1	Plate_001	D9	D	9	GAL4.36	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4-L868C
180324-Plate_001.D10	180324-Plate_001	1	Plate_001	D	10	D10	1	Plate_001	D10	D	10	GAL4.36	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4-L868C
180324-Plate_001.D11	180324-Plate_001	1	Plate_001	D	11	D11	1	Plate_001	D11	D	11	GAL4.36	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4-L868C
180324-Plate_001.D12	180324-Plate_001	1	Plate_001	D	12	D12	1	Plate_001	D12	D	12	GAL4.36	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4-L868C
180324-Plate_001.E1	180324-Plate_001	1	Plate_001	E	1	E1	1	Plate_001	E1	E	1	GAL4.38	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4-L868G
180324-Plate_001.E2	180324-Plate_001	1	Plate_001	E	2	E2	1	Plate_001	E2	E	2	GAL4.38	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4-L868G
180324-Plate_001.E3	180324-Plate_001	1	Plate_001	E	3	E3	1	Plate_001	E3	E	3	GAL4.38	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4-L868G
180324-Plate_001.E4	180324-Plate_001	1	Plate_001	E	4	E4	1	Plate_001	E4	E	4	GAL4.38	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4-L868G
180324-Plate_001.E5	180324-Plate_001	1	Plate_001	E	5	E5	1	Plate_001	E5	E	5	GAL4.38	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4-L868G
180324-Plate_001.E6	180324-Plate_001	1	Plate_001	E	6	E6	1	Plate_001	E6	E	6	GAL4.38	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4-L868G
180324-Plate_001.E7	180324-Plate_001	1	Plate_001	E	7	E7	1	Plate_001	E7	E	7	GAL4.38	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4-L868G
180324-Plate_001.E8	180324-Plate_001	1	Plate_001	E	8	E8	1	Plate_001	E8	E	8	GAL4.38	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4-L868G
180324-Plate_001.E9	180324-Plate_001	1	Plate_001	E	9	E9	1	Plate_001	E9	E	9	GAL4.38	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4-L868G
180324-Plate_001.E10	180324-Plate_001	1	Plate_001	E	10	E10	1	Plate_001	E10	E	10	GAL4.38	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4-L868G
180324-Plate_001.E11	180324-Plate_001	1	Plate_001	E	11	E11	1	Plate_001	E11	E	11	GAL4.38	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4-L868G
180324-Plate_001.E12	180324-Plate_001	1	Plate_001	E	12	E12	1	Plate_001	E12	E	12	GAL4.38	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4-L868G
180324-Plate_001.F1	180324-Plate_001	1	Plate_001	F	1	F1	1	Plate_001	F1	F	1	GAL4.40	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4-L868K
180324-Plate_001.F2	180324-Plate_001	1	Plate_001	F	2	F2	1	Plate_001	F2	F	2	GAL4.40	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4-L868K
180324-Plate_001.F3	180324-Plate_001	1	Plate_001	F	3	F3	1	Plate_001	F3	F	3	GAL4.40	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4-L868K
180324-Plate_001.F4	180324-Plate_001	1	Plate_001	F	4	F4	1	Plate_001	F4	F	4	GAL4.40	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4-L868K
180324-Plate_001.F5	180324-Plate_001	1	Plate_001	F	5	F5	1	Plate_001	F5	F	5	GAL4.40	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4-L868K
180324-Plate_001.F6	180324-Plate_001	1	Plate_001	F	6	F6	1	Plate_001	F6	F	6	GAL4.40	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4-L868K
180324-Plate_001.F7	180324-Plate_001	1	Plate_001	F	7	F7	1	Plate_001	F7	F	7	GAL4.40	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4-L868K
180324-Plate_001.F8	180324-Plate_001	1	Plate_001	F	8	F8	1	Plate_001	F8	F	8	GAL4.40	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4-L868K
180324-Plate_001.F9	180324-Plate_001	1	Plate_001	F	9	F9	1	Plate_001	F9	F	9	GAL4.40	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4-L868K
180324-Plate_001.F10	180324-Plate_001	1	Plate_001	F	10	F10	1	Plate_001	F10	F	10	GAL4.40	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4-L868K
180324-Plate_001.F11	180324-Plate_001	1	Plate_001	F	11	F11	1	Plate_001	F11	F	11	GAL4.40	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4-L868K
180324-Plate_001.F12	180324-Plate_001	1	Plate_001	F	12	F12	1	Plate_001	F12	F	12	GAL4.40	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4-L868K
180324-Plate_001.G1	180324-Plate_001	1	Plate_001	G	1	G1	2	Plate_002	A1	A	1	GAL4.WT	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4.WT
180324-Plate_001.G2	180324-Plate_001	1	Plate_001	G	2	G2	2	Plate_002	A2	A	2	GAL4.WT	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4.WT
180324-Plate_001.G3	180324-Plate_001	1	Plate_001	G	3	G3	2	Plate_002	A3	A	3	GAL4.WT	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4.WT
180324-Plate_001.G4	180324-Plate_001	1	Plate_001	G	4	G4	2	Plate_002	A4	A	4	GAL4.WT	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4.WT
180324-Plate_001.G5	180324-Plate_001	1	Plate_001	G	5	G5	2	Plate_002	A5	A	5	GAL4.WT	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4.WT
180324-Plate_001.G6	180324-Plate_001	1	Plate_001	G	6	G6	2	Plate_002	A6	A	6	GAL4.WT	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4.WT
180324-Plate_001.G7	180324-Plate_001	1	Plate_001	G	7	G7	2	Plate_002	A7	A	7	GAL4.WT	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4.WT
180324-Plate_001.G8	180324-Plate_001	1	Plate_001	G	8	G8	2	Plate_002	A8	A	8	GAL4.WT	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4.WT
180324-Plate_001.G9	180324-Plate_001	1	Plate_001	G	9	G9	2	Plate_002	A9	A	9	GAL4.WT	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4.WT
180324-Plate_001.G10	180324-Plate_001	1	Plate_001	G	10	G10	2	Plate_002	A10	A	10	GAL4.WT	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4.WT
180324-Plate_001.G11	180324-Plate_001	1	Plate_001	G	11	G11	2	Plate_002	A11	A	11	GAL4.WT	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4.WT
180324-Plate_001.G12	180324-Plate_001	1	Plate_001	G	12	G12	2	Plate_002	A12	A	12	GAL4.WT	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4.WT
180324-Plate_001.H1	180324-Plate_001	1	Plate_001	H	1	H1	2	Plate_002	B1	B	1	GAL4.delta	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4.delta
180324-Plate_001.H2	180324-Plate_001	1	Plate_001	H	2	H2	2	Plate_002	B2	B	2	GAL4.delta	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4.delta
180324-Plate_001.H3	180324-Plate_001	1	Plate_001	H	3	H3	2	Plate_002	B3	B	3	GAL4.delta	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4.delta
180324-Plate_001.H4	180324-Plate_001	1	Plate_001	H	4	H4	2	Plate_002	B4	B	4	GAL4.delta	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4.delta
180324-Plate_001.H5	180324-Plate_001	1	Plate_001	H	5	H5	2	Plate_002	B5	B	5	GAL4.delta	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4.delta
180324-Plate_001.H6	180324-Plate_001	1	Plate_001	H	6	H6	2	Plate_002	B6	B	6	GAL4.delta	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4.delta
180324-Plate_001.H7	180324-Plate_001	1	Plate_001	H	7	H7	2	Plate_002	B7	B	7	GAL4.delta	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4.delta
180324-Plate_001.H8	180324-Plate_001	1	Plate_001	H	8	H8	2	Plate_002	B8	B	8	GAL4.delta	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4.delta
180324-Plate_001.H9	180324-Plate_001	1	Plate_001	H	9	H9	2	Plate_002	B9	B	9	GAL4.delta	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4.delta
180324-Plate_001.H10	180324-Plate_001	1	Plate_001	H	10	H10	2	Plate_002	B10	B	10	GAL4.delta	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4.delta
180324-Plate_001.H11	180324-Plate_001	1	Plate_001	H	11	H11	2	Plate_002	B11	B	11	GAL4.delta	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4.delta
180324-Plate_001.H12	180324-Plate_001	1	Plate_001	H	12	H12	2	Plate_002	B12	B	12	GAL4.delta	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4.delta
180324-Plate_002.A1	180324-Plate_002	2	Plate_002	A	1	A1	2	Plate_002	C1	C	1	GAL4.35	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4-L868P
180324-Plate_002.A2	180324-Plate_002	2	Plate_002	A	2	A2	2	Plate_002	C2	C	2	GAL4.35	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4-L868P
180324-Plate_002.A3	180324-Plate_002	2	Plate_002	A	3	A3	2	Plate_002	C3	C	3	GAL4.35	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4-L868P
180324-Plate_002.A4	180324-Plate_002	2	Plate_002	A	4	A4	2	Plate_002	C4	C	4	GAL4.35	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4-L868P
180324-Plate_002.A5	180324-Plate_002	2	Plate_002	A	5	A5	2	Plate_002	C5	C	5	GAL4.35	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4-L868P
180324-Plate_002.A6	180324-Plate_002	2	Plate_002	A	6	A6	2	Plate_002	C6	C	6	GAL4.35	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4-L868P
180324-Plate_002.A7	180324-Plate_002	2	Plate_002	A	7	A7	2	Plate_002	C7	C	7	GAL4.35	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	2	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4-L868P
